Year,CH4_ppm
1008,666
1048,677.8
1098,676.4
1148,685.9
1198,683.7
1248,660.9
1329,672.9
1389,676.3
1389,678.9
1448,681.5
1467,671.4
1501,693
1529,698.9
1549,704.3
1572,684.8
1591,665.4
1606,667.7
1622,679.4
1649,674.6
1681,692
1694,676.1
1722,671.9
1749,692.9
1751,696.9
1762,703.1
1779,714.4
1796,716.9
1798,728.5
1827,755.8
1834,756.3
1842,766.9
1847,763.7
1852,785.5
1856,775.9
1863,789.9
1871,811.9
1879,822.3
1884,828.5
1888,833.6
1893,836.8
1894,852.3
1900,862.4
1901,868.4
1907,891
1907,885.3
1907,887.8
1914,921.6
1917,929.9
1926,989
1926,991.1
1928,997
1931,1006.4
1934,1023.2
1936,1045.2
1938,1053
1940,1059.9
1941,1055.7
1941,1062.2
1942,1069.1
1944,1082.5
1946,1081.8
1950,1103.7
1950,1102.9
1955,1143.5
1955,1140
1955,1145.3
1956,1164.3
1956,1171.8
1956,1183.8
1957,1179.5
1957,1186.4
1961,1218.5
1964,1258.7
1964,1248.6
1964,1273.3
1964,1260.6
1965,1261.3
1967,1285.2
1967,1278.4
1967,1288.5
1970,1351.7
1971,1357.2
1972,1380.3
1972,1379.9
1973,1385.8
1974,1421.5
1975,1420.4
1977,1458.1
1980,1479.7
1980,1479.3
1984,1644.66
1985,1657.26
1986,1670.07
1987,1682.72
1988,1693.16
1989,1704.53
1990,1714.4
1991,1724.89
1992,1735.49
1993,1736.48
1994,1742.04
1995,1748.8
1996,1751.44
1997,1754.53
1998,1765.52
1999,1772.41
2000,1773.35
2001,1771.23
2002,1772.72
2003,1777.37
2004,1777.01
2005,1774.13
2006,1774.98
2007,1781.44
2008,1786.99
2009,1793.52
2010,1798.96
2011,1803.1
2012,1808.02
2013,1813.38
2014,1822.58
2015,1834.23
2016,1843.13
2017,1849.65
2018,1857.28
2019,1866.55
2020,1879.1
